Url,ID,Review_count
https://www.yelp.com/biz/bayshore-roller-hockey-rink-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,v-X46YzabaoO7JWpbgUgGQ,2
https://www.yelp.com/biz/aqua-link-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,RGF7FZ39rZm6y1U7mxexLg,46
https://www.yelp.com/biz/long-beach-police-dept-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,H9qoyqAcBUSKiSpG9iv9lQ,34
https://www.yelp.com/biz/naples-canals-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,3-Ax6cyOX0RJznZqkmmTaA,65
https://www.yelp.com/biz/deforest-park-long-beach?adjust_creative=p3q3Q3Tz8WyU4aCHGUgWag&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=p3q3Q3Tz8WyU4aCHGUgWag,aJEnHDSUX92i-YgJK5NvQA,10
https://www.yelp.com/biz/the-federal-breakwater-long-beach?adjust_creative=vrZ-PGPbTomowQNSeEJRpQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vrZ-PGPbTomowQNSeEJRpQ,ZNzysmwrPvyI7Djhl1lshw,2
https://www.yelp.com/biz/recreation-park-long-beach?adjust_creative=vrZ-PGPbTomowQNSeEJRpQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vrZ-PGPbTomowQNSeEJRpQ,utKadNBJ3xuSooyazuzveA,9
https://www.yelp.com/biz/rosie-the-riveter-park-long-beach?adjust_creative=vrZ-PGPbTomowQNSeEJRpQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=vrZ-PGPbTomowQNSeEJRpQ,NKuiiZyidrOovZJ84eqY0A,6
https://www.yelp.com/biz/servpro-of-southeast-long-beach-belmont-shores-long-beach?adjust_creative=_F6hesjEMXLiyCFcp6yfMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=_F6hesjEMXLiyCFcp6yfMw,92ZpeWsBLCCogDlqBUJ1vA,6
https://www.yelp.com/biz/restore-your-floor-hardwood-flooring-long-beach?adjust_creative=_F6hesjEMXLiyCFcp6yfMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=_F6hesjEMXLiyCFcp6yfMw,n8bH3OkhFYB_FK-7W-mgVQ,85
https://www.yelp.com/biz/crocodile-window-cleaning-long-beach?adjust_creative=_F6hesjEMXLiyCFcp6yfMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=_F6hesjEMXLiyCFcp6yfMw,8tbNVxkMLeJ8V8VZEx5IAg,13
https://www.yelp.com/biz/take-pride-landscapes-long-beach?adjust_creative=_F6hesjEMXLiyCFcp6yfMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=_F6hesjEMXLiyCFcp6yfMw,ojpuvoovjUUZXVpn7gTWEA,21
https://www.yelp.com/biz/bresson-photo-booths-long-beach?adjust_creative=5MSb7kUG2_VoAWp5ngoEAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=5MSb7kUG2_VoAWp5ngoEAg,BMPOAzgtZKudZ7btqn1VoQ,7
https://www.yelp.com/biz/caribe-steel-band-long-beach?adjust_creative=5MSb7kUG2_VoAWp5ngoEAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=5MSb7kUG2_VoAWp5ngoEAg,qCpD6N3_TCNMTguPTSlO3A,2
https://www.yelp.com/biz/susan-slade-photography-long-beach?adjust_creative=QTcAzZL07l_8n_E2GUsQ0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=QTcAzZL07l_8n_E2GUsQ0w,vdzDuvmujeMASY5hf4fBqQ,3
https://www.yelp.com/biz/donald-b-lane-interiors-long-beach?adjust_creative=QTcAzZL07l_8n_E2GUsQ0w&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=QTcAzZL07l_8n_E2GUsQ0w,iPId94BWyAQLokpdHTlgag,1
