licenseNum,date_fetched,name,place_id,formatted_address,latitude,longitude,price_level,rating
BU20461120,4/5/19,European Auto Garage,ChIJNwzp_RUx3YARkBDva76wS-s,"820 E 3rd St, Long Beach, CA 90802, USA",33.770286,-118.182082,,4.2
BU20710490,4/5/19,Las Islitas Restaurant,ChIJVxWQI6g23YARQ2dFsx2oCzU,"1585 Santa Fe Ave, Long Beach, CA 90813, USA",33.7871655,-118.2156518,,4.4
BU20712330,4/5/19,T & Y Travel & Tax Services,ChIJY2jwbUAx3YARtwK2jzYzhz4,"629 E 7th St, Long Beach, CA 90813, USA",33.7755271,-118.18425,,0
BU20562980,4/5/19,Long Beach Dairy & Spirits,ChIJRwhALz4x3YARe7qr2ue8ASU,"725 E 4th St, Long Beach, CA 90802, USA",33.77183,-118.1829761,,3.4
BU20562150,4/5/19,Quality Eye Care Optometry,ChIJ32hyuEcx3YARiAWG4n4CDoM,"619 Pine Ave, Long Beach, CA 90802, USA",33.7745646,-118.1925398,,4.3
BU02038000,4/5/19,Wayne Electric,ChIJacEEya423YARWwo4V9JiryY,"1560 W Anaheim St, Long Beach, CA 90813, USA",33.7823308,-118.2131422,,4.1
BU20539570,4/5/19,Superior Electrical Advertising,ChIJDw8gS6823YARNjmWA9Q-zeU,"1700 W Anaheim St, Long Beach, CA 90813, USA",33.782428,-118.216121,,4.8
BU20343840,4/5/19,Ice Cream & Frozen Yogurt On The Boardwalk,ChIJXci-9SQx3YARK2iVOA-3wtw,"429 Shoreline Village Drive, Long Beach, CA 90802, USA",33.7604416,-118.1913102,,4.4
BU00067410,4/5/19,Santa Fe Importers- Long Beach,ChIJ__-T66g23YARR074q-Bf024,"1401 Santa Fe Ave, Long Beach, CA 90813, USA",33.7839651,-118.2158609,,4.7
BU21519410,4/5/19,Quantum Sails SoCal,ChIJoeIdHKk23YARsEvwgycjfHY,"1620 W Cowles St, Long Beach, CA 90813, USA",33.7845265,-118.214367,,5
BU97037700,4/5/19,Industrial Tire Service Inc,ChIJ0_a2Zx003YAR76CzLJbtx_g,"2020 W 16th St, Long Beach, CA 90813, USA",33.7870116,-118.2192099,,4.7
BU21512640,4/5/19,Rocket Fuel,ChIJE7NOz6g23YARFvk4vnf8Ipk,"1701 W Anaheim St, Long Beach, CA 90813, USA",33.7831775,-118.2158506,,4.2
BU21511570,4/5/19,Cameron Welding Supply,ChIJ-Qa_rS8z3YARlw5r_kpuSts,"1690 Cota Ave, Long Beach, CA 90813, USA",33.787901,-118.216287,,3.8
BU21228980,4/5/19,Shenanigans Irish Pub & Grille,ChIJTy8PYiQx3YAR8o3BIPDYd6E,"423 Shoreline Village Drive a, Long Beach, CA 90802, USA",33.7605676,-118.1911764,2,4.2
BU21418260,4/5/19,Kabala Tires,ChIJyWwgBa823YARI0yCKAiu3yQ,"1679 W 9th St, Long Beach, CA 90813, USA",33.7808243,-118.2151135,,5
BU21126510,4/5/19,West Coast Sandblasting,ChIJeVXH6Kc23YARNPJRT7SkYBc,"1516 Hayes Ave, Long Beach, CA 90813, USA",33.785906,-118.218397,,4.2
BU20911550,4/5/19,Residence Inn by Marriott Long Beach Downtown,ChIJI4d5ni0x3YARXtrTpQbUDT8,"600 Queensway Dr, Long Beach, CA 90802, USA",33.758684,-118.2012975,,4.4
BU20911560,4/5/19,Residence Inn by Marriott Long Beach Downtown,ChIJI4d5ni0x3YARXtrTpQbUDT8,"600 Queensway Dr, Long Beach, CA 90802, USA",33.758684,-118.2012975,,4.4
BU21102720,4/5/19,La Bonita Inn Motel Long Beach,ChIJG_5NYgI03YARN5fxK5uN7Ro,"1626 W Esther St, Long Beach, CA 90813, USA",33.7888041,-118.2144075,,3.2
BU21129080,4/5/19,Beto's Auto Body and Collision center,ChIJ42Pnn6k23YARQoUYy_vPt7g,"1541 W 15th St, Long Beach, CA 90813, USA",33.7858054,-118.2130575,,3.5
BU95012320,4/5/19,D J Auto Body Parts,ChIJUTN7I6823YAR5o79wZpuTew,"1130 Santa Fe Ave, Long Beach, CA 90813, USA",33.7815271,-118.215224,,4.2
BU21032520,4/5/19,Tepechi Birrieria,ChIJodaC8Kg23YARGR1alGtUBmo,"1430 Santa Fe Ave, Long Beach, CA 90813, USA",33.7845298,-118.2152786,2,4.5
BU20903970,4/5/19,Twisters & Coffee,ChIJYYJqYiQx3YARomqPi2oX4Qs,"419 Shoreline Village Dr, Long Beach, CA 90802, USA",33.760804,-118.1904362,,4.2
BU20732680,4/5/19,Saga,ChIJXci-9SQx3YARW__neCoKLYQ,"429 Shoreline Village Drive #K, Long Beach, CA 90802, USA",33.7600905,-118.1918066,,4.9
BU98025200,4/5/19,Jon's Body Shop,ChIJJf0A9a423YARHGj2aawXwQw,"1556 W 11th St, Long Beach, CA 90813, USA",33.7805798,-118.2134272,,5
BU87030410,4/5/19,Fiberglass Arts Body Shop,ChIJmRsku6k23YARt7Q2QJeWgp8,"1540 Canal Ave, Long Beach, CA 90813, USA",33.7862628,-118.2136941,,5
