licenseNum,date,yelp_name,yelp_id,image_url,is_claimed,is_closed,address,city,state,country,zip_code,price,rating,review_count,transactions,url
BU00067410,2019-04-01,Santa Fe Importers - Long Beach,lsUY8jKY8MbgtxPIEPK43g,https://s3-media1.fl.yelpcdn.com/bphoto/LIvw6jfkN-Ar8x2USGHELg/o.jpg,True,False,1401 Santa Fe Ave,Long Beach,CA,US,90813,$,4.5,280,[],https://www.yelp.com/biz/santa-fe-importers-long-beach-long-beach-4?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU20203251,2019-04-01,Goat Hill Classics,pzEscNZlU98VMrCn63uF1g,,False,False,2037 W 16th St,Long Beach,CA,US,90813,,1.0,3,[],https://www.yelp.com/biz/goat-hill-classics-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21519410,2019-04-01,Quantum Sails So Cal,5GXCLoc3PcM5XkwXjukPig,https://s3-media4.fl.yelpcdn.com/bphoto/Ldz8iY5W6RCduaxp_LFOBQ/o.jpg,True,False,1620 Cowles St,Long Beach,CA,US,90813,,5.0,2,[],https://www.yelp.com/biz/quantum-sails-so-cal-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU97037700,2019-04-01,Industrial Tire Service,iaeWzDEHDXvJjLDITYPHmw,https://s3-media4.fl.yelpcdn.com/bphoto/x3QpTo1ESyf0qYFCIgJjTw/o.jpg,True,False,2020 W 16th St,Long Beach,CA,US,90813,,5.0,15,[],https://www.yelp.com/biz/industrial-tire-service-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21513820,2019-04-01,Smile For The Birdie,z28hc-TL7A7AW2zUddWbXA,https://s3-media4.fl.yelpcdn.com/bphoto/sVyiSYwWEeVTAmtUD549ww/o.jpg,True,False,423 Shoreline Village Dr,Long Beach,CA,US,90802,,5.0,14,[],https://www.yelp.com/biz/smile-for-the-birdie-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21512640,2019-04-01,Rocket Oil 4,X0nxYHvRu1Cq0Jl5CeVGWw,https://s3-media3.fl.yelpcdn.com/bphoto/tnrD3jqhASwpSo-O6GgqNw/o.jpg,False,False,1701 W Anaheim St,Long Beach,CA,US,90813,,4.5,6,[],https://www.yelp.com/biz/rocket-oil-4-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21511570,2019-04-01,Cameron Welding Supply,pjJB7MgYcHakEIWY_2TXTw,https://s3-media1.fl.yelpcdn.com/bphoto/QcefTDzGoJ2kxMoy8Q-lyw/o.jpg,True,False,1690 Cota Ave,Long Beach,CA,US,90813,,4.5,8,[],https://www.yelp.com/biz/cameron-welding-supply-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21502920,2019-04-01,Shoreline Grill & Pub,CJYiD0q9tR4nSf2Plo-XwQ,https://s3-media1.fl.yelpcdn.com/bphoto/98qBHwzzq3i1hjM13QyHMA/o.jpg,True,True,429 H Shoreline Village Dr,Long Beach,CA,US,90802,$$,2.0,24,[],https://www.yelp.com/biz/shoreline-grill-and-pub-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21228980,2019-04-01,Shenanigans Irish Pub & Grille,g0ZLQaNPrmmAsMKYTP1CXQ,https://s3-media2.fl.yelpcdn.com/bphoto/AZIzKuw0iPD4Hda6vAwHCw/o.jpg,True,False,423 Shoreline Village Dr,Long Beach,CA,US,90802,$$,3.5,423,"['pickup', 'delivery']",https://www.yelp.com/biz/shenanigans-irish-pub-and-grille-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21220380,2019-04-01,Bud's Submarine,6DSqqeXrDEro87MRUkoJ1w,https://s3-media3.fl.yelpcdn.com/bphoto/5F2_BfgWs8feFminoZvQLQ/o.jpg,False,True,1445 Santa Fe Ave,Long Beach,CA,US,90813,$,4.0,27,[],https://www.yelp.com/biz/buds-submarine-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
